title,category_path,local_xml_url
"Hi, DIYgod",Articles,https://diygod.cc/feed
tanscp,Articles,https://tanscp.com/feed/
Airing 的博客,Articles,https://ursb.me/blog/feed.xml
Rolen's Blog,Articles/个人博客-人生,https://rolen.wiki/feed/
Ben's Love,Articles/个人博客-人生,https://bens.love/feed
莫比乌斯,Articles/个人博客-人生,https://mobius.blog/feed/
白熊阿丸的小屋,Articles/个人博客-人生,https://blog.bxaw.name/feed/
草稿拾遗,Articles/个人博客-人生,https://kill-the-newsletter.com/feeds/t87xbbj6p4iwfhsi.xml
Paradise Lost,Articles,https://2890.ltd/feed/
笨方法学写作,Articles,https://www.cnfeat.com/feed.xml
豆瓣小组-无用美学,Articles,http://127.0.0.1:1200/douban/group/699356/essence
StarYuhen,Articles,https://www.yuhenm.top/feed/
少数派,Articles/优质信息源,http://127.0.0.1:1200/sspai/index
少数派 -- Matrix,Articles/优质信息源,http://127.0.0.1:1200/sspai/matrix
Experimental History,Articles,https://www.experimental-history.com/feed
Blog - Remote Work Prep,Articles,https://www.remoteworkprep.com/blog?format=rss
EVANGELION:ALL,Articles,https://www.eva-all.com/news/feed/
纵横四海,Articles,http://127.0.0.1:1200/xiaoyuzhou/podcast/62694abdb221dd5908417d1e
51吃瓜网 - 吃瓜爆料第一站，全网最快最全的吃瓜平台,Articles/其他,https://51cg1.com/feed/
今日热榜,Articles,https://web2rss.cc/feed/rebang.today?preview=true
安全代码,Articles,https://www.usmacd.com/atom.xml
老T博客,Articles,https://lawtee.com/index.xml
小众软件,Articles/科技与编程,https://www.appinn.com/feed/
HelloGithub - 月刊,Articles/科技与编程,http://127.0.0.1:1200/hellogithub/volume
宝玉的分享,Articles/科技与编程,https://s.baoyu.io/feed.xml
阮一峰的网络日志,Articles/科技与编程,https://feeds.feedburner.com/ruanyifeng
龙爪槐守望者,Articles/科技与编程,https://www.ftium4.com/rss.xml
十年之约聚合订阅,Articles/科技与编程,https://tool.bcrjl.com/snzy-rss/
#UNTAG,Articles/科技与编程,https://rss.utgd.net/feed/
混沌周刊,Articles/科技与编程,https://weekly.love/feed/atom
🔔科技频道[奇诺分享-ccino.org]⚡️,Articles/科技与编程,https://channel.ccino.org/rss.xml
猴猴说话,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3279284299.atom
潦草学者,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3239649460.atom
L先生说,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3015646136.atom
常青说,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3944297233.atom
啊桂实验室,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3097885397.atom
大问题Dialectic,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_2391461928.atom
ONE字幕组,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3220087653.atom
everystep,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_2396013984.atom
走路,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3097360004.atom
数字生命卡兹克,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3223096120.atom
AGI Hunt,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3087832081.atom
卡尔的AI沃茨,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3871977637.atom
赛博禅心,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3934419561.atom
AI产品黄叔,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_2398553439.atom
网罗灯下黑,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3565037632.atom
苍何,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3585152880.atom
饼干哥哥AGI,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_2394281674.atom
刘聪NLP,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3891555159.atom
AI产品阿颖,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3892772220.atom
01Founder,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3927644787.atom
AI故事计划,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3917501995.atom
十字路口Crossing,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3010319264.atom
沃垠AI,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3201599457.atom
阿伦AI学习笔记,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3957475902.atom
胡说成理,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3297021519.atom
云中江树,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3016599109.atom
秋芝2046,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3930567871.atom
AI产品银海,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3913528478.atom
哥飞,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_2399233620.atom
探索AGI,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3916725964.atom
新智元,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3271041950.atom
量子位,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3236757533.atom
APPSO,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_2392024520.atom
智东西,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3081486433.atom
雷峰网,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_1368348621.atom
PaperWeekly,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3201788143.atom
甲子光年,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3599245772.atom
逛逛GitHub,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3516884134.atom
开源AI项目落地,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3921606804.atom
夕小瑶科技说,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3207765945.atom
Datawhale,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3226363426.atom
极客公园,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_1304308441.atom
AIGC开放社区,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3873892677.atom
AI前线,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3554086560.atom
AI科技评论,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3098132220.atom
脑极体,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3515522183.atom
硅星人Pro,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3926568365.atom
特工宇宙,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3621654047.atom
光子星球,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3082518302.atom
CVer,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3516712416.atom
Z Potentials,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3285810954.atom
Z Finance,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3077513391.atom
晚点LatePost,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3572959446.atom
InfoQ,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_2390142780.atom
机器之心,Articles/微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3073282833.atom
Vista看天下,Articles/社评,https://plink.anyfeeder.com/weixin/vistaweek
