top_category,enabled,category_path,title,xml_url,local_xml_url,html_url,type,priority,status,tags,language,cadence,owner,notes,last_update,last_checked,核心价值,信息密度,原创性,时效性,主要内容形式,情绪影响,适合使用场景,噪音程度,source_comment
Articles,Y,,"Hi, DIYgod",https://diygod.cc/feed,,https://diygod.cc/,rss,P2,active,科技、编程、生活,zh,年更,,,,,顶级独立开发者的年度深度思考，AI时代创作者生存实录,高,高,弱,深度文章,提供启发、引发思考,周末阅读、写作素材,低,imported from myrss.tailscale.opml
Articles,Y,,tanscp,https://tanscp.com/feed/,,https://tanscp.com/,rss,P2,active,AI、科技、编程,zh,不定,,,40天前,2026-05-01,通俗易懂的AI概念科普，适合给非技术朋友理解AI,高,高,中,深度文章、教程,提供启发,学习积累、写作素材,低,imported from myrss.tailscale.opml
Articles,Y,,Airing 的博客,https://ursb.me/blog/feed.xml,,https://ursb.me/,rss,P2,active,AI、科技、编程、产品,zh,月刊,,,26天前,2026-05-01,全栈工程师的技术深度与人生思考，AI编程实践内容丰富,高,高,中,深度文章、周报,提供启发、放松,学习积累、写作素材、项目调研,低,imported from myrss.tailscale.opml
Articles,Y,个人博客-人生,Rolen's Blog,https://rolen.wiki/feed/,,https://rolen.wiki/,rss,P2,active,心理、生活方式、人生哲学,zh,不定,,,16天前,2026-05-01,生活体验与内在觉察的哲学思考,中,高,弱,深度文章、观点评论,提供启发、放松、沉思,情绪放松、周末阅读、写作素材,低,imported from myrss.tailscale.opml
Articles,Y,个人博客-人生,Ben's Love,https://bens.love/feed,,https://bens.love/,rss,P2,active,科技、生活方式、AI,zh,不定,,,13天前,2026-05-01,技术与生活交织的个人记录，AI创作实践分享,中,高,中,短篇随笔、碎片动态,放松、提供启发,日常浏览、情绪放松,低,imported from myrss.tailscale.opml
Articles,Y,个人博客-人生,莫比乌斯,https://mobius.blog/feed/,,https://mobius.blog/,rss,P2,active,社会、心理、生活方式、文学,zh,不定,,,13小时前,2026-05-01,以文学笔触记录现代人精神困境的独立思考,高,高,中,深度文章、观点评论,引发思考、沉思,周末阅读、写作素材、情绪放松,低,imported from myrss.tailscale.opml
Articles,Y,个人博客-人生,白熊阿丸的小屋,https://blog.bxaw.name/feed/,,https://blog.bxaw.name/,rss,P2,active,心理、情绪、自我反思、个人成长,zh,不定,,,4天前,2026-05-01,真实细腻的情绪觉察与自我成长记录,中,高,弱,深度文章,引发共鸣、带来放松,情绪放松、周末阅读,低,imported from myrss.tailscale.opml
Articles,Y,个人博客-人生,草稿拾遗,https://kill-the-newsletter.com/feeds/t87xbbj6p4iwfhsi.xml,,https://kill-the-newsletter.com/feeds/t87xbbj6p4iwfhsi.xml,rss,P2,active,阅读、思考、知识,zh,不定,,,未知,2026-05-01,精选内容与个人思考，高质量信息筛选,中,低,弱,周报,提供启发,学习积累、周末阅读,低,imported from myrss.tailscale.opml
Articles,Y,,Paradise Lost,https://2890.ltd/feed/,,https://2890.ltd/,rss,P2,active,技术、数据、个人博客,zh,不定,,,89天前,2026-05-01,技术深度文章与个人思考随笔,中,高,弱,深度文章,提供启发,学习积累,低,imported from myrss.tailscale.opml
Articles,Y,,笨方法学写作,https://www.cnfeat.com/feed.xml,,https://cnfeat.com/,rss,P2,active,写作、生活、长期主义,zh,不定,,,167天前,2026-05-01,长期主义视角下的写作与生活实践,中,高,弱,深度文章,放松、提供启发,情绪放松、周末阅读,低,imported from myrss.tailscale.opml
Articles,Y,,豆瓣小组-无用美学,https://macmini-rsshub.tail99ecfa.ts.net/douban/group/699356/essence,http://127.0.0.1:1200/douban/group/699356/essence,https://www.douban.com/group/699356/?type=essence,rss,P2,dead,生活方式、设计、社会,,,,,1小时前,2026-05-02,持续汇集带有日常观察和审美气质的图文碎片，适合快速获得轻盈灵感。,低,高,中,碎片动态、图文分享,放松、提供启发，偶尔会让人想去拍照和出门走走,日常浏览、情绪放松、写作素材,中,imported from myrss.tailscale.opml
Articles,Y,,StarYuhen,https://www.yuhenm.top/feed/,,https://www.yuhenm.top/,rss,P2,active,编程、Go、后端、技术,zh,不定,,,25天前,2026-05-01,后端开发与接单经验分享,中,高,中,深度文章、教程,提供启发,学习积累、项目调研,低,imported from myrss.tailscale.opml
Articles,Y,优质信息源,少数派,https://macmini-rsshub.tail99ecfa.ts.net/sspai/index,http://127.0.0.1:1200/sspai/index,https://sspai.com/,rss,P2,dead,科技、产品、生活方式,,,,,20小时前,2026-05-02,围绕数字产品、效率工具与生活方式提供兼具可读性和实用性的中文长文。,高,高,中,深度文章、教程、观点评论,提供启发，读完通常会想立刻试试新工具或新方法,日常浏览、学习积累、项目调研,低,imported from myrss.tailscale.opml
Articles,Y,优质信息源,少数派 -- Matrix,https://macmini-rsshub.tail99ecfa.ts.net/sspai/matrix,http://127.0.0.1:1200/sspai/matrix,https://sspai.com/matrix,rss,P2,dead,科技、产品、生活方式、AI,,,,,2天前,2026-05-02,社区作者的一手体验与个人实践很多，能看到工具、AI 与生活方式结合的真实案例。,中,高,中,深度文章、观点评论、经验分享,提供启发，偶尔会激发一点“我也想写点什么”的创作欲,学习积累、写作素材、项目调研,中,imported from myrss.tailscale.opml
Articles,Y,,Experimental History,https://www.experimental-history.com/feed,,https://www.experimental-history.com/,rss,P2,active,心理学、科学、行为,en,双周刊,,,2天前,2026-05-01,心理学与科学研究的独特视角,高,高,中,深度文章,提供启发,学习积累、写作素材,低,imported from myrss.tailscale.opml
Articles,Y,,Blog - Remote Work Prep,https://www.remoteworkprep.com/blog?format=rss,,https://www.remoteworkprep.com/blog/,rss,P2,active,远程工作、效率、职业,en,不定,,,432天前,2026-05-01,远程工作实战经验与效率提升技巧,中,中,弱,深度文章、教程,提供启发,学习积累,低,imported from myrss.tailscale.opml
Articles,Y,,EVANGELION:ALL,https://www.eva-all.com/news/feed/,,https://www.eva-all.com/news,rss,P2,active,EVA、动漫、资讯,zh,日更,,,1天前,2026-05-01,EVA系列最新资讯与周边商品情报,低,低,强,短资讯,放松、带来期待,日常浏览、情绪放松,低,imported from myrss.tailscale.opml
Articles,Y,,纵横四海,https://macmini-rsshub.tail99ecfa.ts.net/xiaoyuzhou/podcast/62694abdb221dd5908417d1e,http://127.0.0.1:1200/xiaoyuzhou/podcast/62694abdb221dd5908417d1e,https://www.xiaoyuzhoufm.com/podcast/62694abdb221dd5908417d1e,rss,P2,dead,心理、生活方式、AI,,,,,6天前,2026-05-02,把注意力、自控力和女性成长议题讲得既有结构又有陪伴感，适合处理 AI 时代的个人焦虑。,高,高,中,播客长谈、观点评论、主题解读,提供启发、安定情绪，也会促使人反思自己的时间分配,通勤收听、情绪整理、学习积累,低,imported from myrss.tailscale.opml
Articles,Y,其他,51吃瓜网 - 吃瓜爆料第一站，全网最快最全的吃瓜平台,https://51cg1.com/feed/,,https://51cg1.com/,rss,P2,active,娱乐、八卦、吃瓜,zh,日更,,,2天前,2026-05-01,娱乐圈与网红最新爆料集合,低,低,强,短资讯,娱乐放松,情绪放松,高,imported from myrss.tailscale.opml
Articles,Y,,今日热榜,https://web2rss.cc/feed/rebang.today?preview=true,,https://rebang.today/,rss,P2,active,,,,,,失效,2026-05-02,,,,,,,,,imported from myrss.tailscale.opml
Articles,Y,,安全代码,https://www.usmacd.com/atom.xml,,https://usmacd.com/atom.xml,rss,P2,active,知识、决策、思考、思维模型,zh,不定,,,未知,2026-05-01,思维模型与决策框架的深度分享,高,中,弱,深度文章,提供启发,学习积累、写作素材,低,imported from myrss.tailscale.opml
Articles,Y,,老T博客,https://lawtee.com/index.xml,,https://lawtee.com/,rss,P2,active,文化、政治、语言、法律,zh,不定,,,2天前,2026-05-01,法律人视角看台湾文化与政治的深度分析,高,高,中,深度文章、观点评论,提供启发、引发思考,学习积累、写作素材,低,imported from myrss.tailscale.opml
Articles,Y,科技与编程,小众软件,https://www.appinn.com/feed/,,https://www.appinn.com/,rss,P2,active,软件、工具、科技,zh,日更,,,1天前,2026-05-01,免费小巧实用的软件推荐与评测,中,中,强,短资讯、评测,带来期待,日常浏览,中,imported from myrss.tailscale.opml
Articles,Y,科技与编程,HelloGithub - 月刊,https://macmini-rsshub.tail99ecfa.ts.net/hellogithub/volume,http://127.0.0.1:1200/hellogithub/volume,https://hellogithub.com/periodical,rss,P2,active,编程、开源、科技,zh,月刊,,,3天前,2026-05-01,每月推荐有趣的开源项目，拓宽技术视野,高,中,中,周报,提供启发,学习积累、项目调研,低,imported from myrss.tailscale.opml
Articles,Y,科技与编程,宝玉的分享,https://s.baoyu.io/feed.xml,,https://baoyu.io/,rss,P2,active,AI、编程、LLM、技术,zh,日更,,,1天前,2026-05-01,大语言模型与AI编程领域前沿动态翻译解读,高,中,强,深度文章、观点评论,提供启发、带来FOMO,学习积累、日常浏览、项目调研,低,imported from myrss.tailscale.opml
Articles,Y,科技与编程,阮一峰的网络日志,https://feeds.feedburner.com/ruanyifeng,,http://www.ruanyifeng.com/blog/,rss,P2,active,科技、编程、周刊,zh,周刊,,,7天前,2026-05-01,科技爱好者必读的每周精华汇总,高,中,中,周报,提供启发,日常浏览、学习积累,低,imported from myrss.tailscale.opml
Articles,Y,科技与编程,龙爪槐守望者,https://www.ftium4.com/rss.xml,,https://www.ftium4.com/rss.xml,rss,P2,active,UX、设计、交互、产品,zh,周刊,,,未知,2026-05-01,交互设计与用户体验领域的每周精选,中,中,中,周报,提供启发,学习积累、写作素材,低,imported from myrss.tailscale.opml
Articles,Y,科技与编程,十年之约聚合订阅,https://tool.bcrjl.com/snzy-rss/,,https://blog.yanqingshan.com/87.html,rss,P2,active,博客、生活、聚合,zh,日更,,,3小时前,2026-05-01,十年之约博客圈的最新文章聚合,低,低,强,碎片动态,放松,日常浏览,高,imported from myrss.tailscale.opml
Articles,Y,科技与编程,#UNTAG,https://rss.utgd.net/feed/,,http://utgd.net/rss/,rss,P2,active,科技、生活、效率,zh,日更,,,3天前,2026-05-01,科技与生活效率的实用技巧分享,中,高,中,深度文章、教程,提供启发,学习积累、日常浏览,低,imported from myrss.tailscale.opml
Articles,Y,科技与编程,混沌周刊,https://weekly.love/feed/atom,,https://weekly.love/,rss,P2,active,科技、编程、开发,zh,已停更,,,1257天前,2026-05-01,从开发者视角看科技世界的精华周报,高,中,弱,周报,提供启发,学习积累、写作素材,低,imported from myrss.tailscale.opml
